candidate_id,candidate_name,source_key,citation,url
existing_trend_pullback,Existing Strategy: Trend + Pullback,trend_century_hurst_2017,"Hurst, Ooi, Pedersen (2017), A Century of Evidence on Trend-Following Investing, Journal of Portfolio Management.",https://www.aqr.com/insights/research/journal-article/a-century-of-evidence-on-trend-following-investing
existing_breakout_volume_momentum,Existing Strategy: Breakout + Volume + Momentum,technical_rules_brock_1992,"Brock, Lakonishok, LeBaron (1992), Simple Technical Trading Rules and the Stochastic Properties of Stock Returns, Journal of Finance.",https://www.jstor.org/stable/i340162
existing_mean_reversion_vol_filter,Existing Strategy: Mean Reversion + Volatility Filter,data_snooping_sullivan_1999,"Sullivan, Timmermann, White (1999), Data-Snooping, Technical Trading Rule Performance, and the Bootstrap, Journal of Finance.",https://ideas.repec.org/a/bla/jfinan/v54y1999i5p1647-1691.html
existing_momentum_relative_strength,Existing Strategy: Momentum + Relative Strength,momentum_jegadeesh_titman_1993,"Jegadeesh, Titman (1993), Returns to Buying Winners and Selling Losers, Journal of Finance.",https://www.bauer.uh.edu/rsusmel/phd/jegadeesh-titman93.pdf
existing_momentum_relative_strength,Existing Strategy: Momentum + Relative Strength,tsmom_moskowitz_2012,"Moskowitz, Ooi, Pedersen (2012), Time Series Momentum, Journal of Financial Economics.",https://doi.org/10.1016/j.jfineco.2011.11.003
cand_cross_asset_monthly_momentum,Cross-Asset Monthly Momentum Rotation,momentum_jegadeesh_titman_1993,"Jegadeesh, Titman (1993), Returns to Buying Winners and Selling Losers, Journal of Finance.",https://www.bauer.uh.edu/rsusmel/phd/jegadeesh-titman93.pdf
cand_cross_asset_monthly_momentum,Cross-Asset Monthly Momentum Rotation,tsmom_moskowitz_2012,"Moskowitz, Ooi, Pedersen (2012), Time Series Momentum, Journal of Financial Economics.",https://doi.org/10.1016/j.jfineco.2011.11.003
cand_cross_asset_monthly_momentum_nostop,Cross-Asset Monthly Momentum (No Trailing Stop),momentum_jegadeesh_titman_1993,"Jegadeesh, Titman (1993), Returns to Buying Winners and Selling Losers, Journal of Finance.",https://www.bauer.uh.edu/rsusmel/phd/jegadeesh-titman93.pdf
cand_cross_asset_monthly_momentum_nostop,Cross-Asset Monthly Momentum (No Trailing Stop),tsmom_moskowitz_2012,"Moskowitz, Ooi, Pedersen (2012), Time Series Momentum, Journal of Financial Economics.",https://doi.org/10.1016/j.jfineco.2011.11.003
cand_cross_asset_monthly_momentum_63,Cross-Asset Monthly Momentum (63/126),momentum_jegadeesh_titman_1993,"Jegadeesh, Titman (1993), Returns to Buying Winners and Selling Losers, Journal of Finance.",https://www.bauer.uh.edu/rsusmel/phd/jegadeesh-titman93.pdf
cand_cross_asset_monthly_momentum_63,Cross-Asset Monthly Momentum (63/126),tsmom_moskowitz_2012,"Moskowitz, Ooi, Pedersen (2012), Time Series Momentum, Journal of Financial Economics.",https://doi.org/10.1016/j.jfineco.2011.11.003
cand_tsmom_12m_filter,TSMOM 12M + Trend Filter,tsmom_moskowitz_2012,"Moskowitz, Ooi, Pedersen (2012), Time Series Momentum, Journal of Financial Economics.",https://doi.org/10.1016/j.jfineco.2011.11.003
cand_tsmom_12m_filter,TSMOM 12M + Trend Filter,trend_century_hurst_2017,"Hurst, Ooi, Pedersen (2017), A Century of Evidence on Trend-Following Investing, Journal of Portfolio Management.",https://www.aqr.com/insights/research/journal-article/a-century-of-evidence-on-trend-following-investing
cand_ma_cross_50_200,50/200 Moving-Average Crossover,technical_rules_brock_1992,"Brock, Lakonishok, LeBaron (1992), Simple Technical Trading Rules and the Stochastic Properties of Stock Returns, Journal of Finance.",https://www.jstor.org/stable/i340162
cand_ma_cross_50_200,50/200 Moving-Average Crossover,data_snooping_sullivan_1999,"Sullivan, Timmermann, White (1999), Data-Snooping, Technical Trading Rule Performance, and the Bootstrap, Journal of Finance.",https://ideas.repec.org/a/bla/jfinan/v54y1999i5p1647-1691.html
cand_faber_10m_timing,Faber 10-Month Timing Rule,faber_tactical_2007,"Faber (2007), A Quantitative Approach to Tactical Asset Allocation.",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=962461
cand_faber_10m_timing,Faber 10-Month Timing Rule,trend_century_hurst_2017,"Hurst, Ooi, Pedersen (2017), A Century of Evidence on Trend-Following Investing, Journal of Portfolio Management.",https://www.aqr.com/insights/research/journal-article/a-century-of-evidence-on-trend-following-investing
cand_medium_term_momentum_63,Medium-Term Momentum (63-Day),momentum_jegadeesh_titman_1993,"Jegadeesh, Titman (1993), Returns to Buying Winners and Selling Losers, Journal of Finance.",https://www.bauer.uh.edu/rsusmel/phd/jegadeesh-titman93.pdf
cand_medium_term_momentum_63,Medium-Term Momentum (63-Day),tsmom_moskowitz_2012,"Moskowitz, Ooi, Pedersen (2012), Time Series Momentum, Journal of Financial Economics.",https://doi.org/10.1016/j.jfineco.2011.11.003
cand_bb_squeeze_breakout,Bollinger Squeeze Breakout,technical_rules_brock_1992,"Brock, Lakonishok, LeBaron (1992), Simple Technical Trading Rules and the Stochastic Properties of Stock Returns, Journal of Finance.",https://www.jstor.org/stable/i340162
cand_dual_horizon_trend,Dual-Horizon Trend Stack,trend_century_hurst_2017,"Hurst, Ooi, Pedersen (2017), A Century of Evidence on Trend-Following Investing, Journal of Portfolio Management.",https://www.aqr.com/insights/research/journal-article/a-century-of-evidence-on-trend-following-investing
cand_dual_horizon_trend,Dual-Horizon Trend Stack,technical_rules_brock_1992,"Brock, Lakonishok, LeBaron (1992), Simple Technical Trading Rules and the Stochastic Properties of Stock Returns, Journal of Finance.",https://www.jstor.org/stable/i340162
cand_donchian_55_breakout,Donchian 55-Day Breakout,technical_rules_brock_1992,"Brock, Lakonishok, LeBaron (1992), Simple Technical Trading Rules and the Stochastic Properties of Stock Returns, Journal of Finance.",https://www.jstor.org/stable/i340162
cand_donchian_55_breakout,Donchian 55-Day Breakout,trend_century_hurst_2017,"Hurst, Ooi, Pedersen (2017), A Century of Evidence on Trend-Following Investing, Journal of Portfolio Management.",https://www.aqr.com/insights/research/journal-article/a-century-of-evidence-on-trend-following-investing
cand_breakout_20_volume,20-Day Breakout + Volume Confirmation,technical_rules_brock_1992,"Brock, Lakonishok, LeBaron (1992), Simple Technical Trading Rules and the Stochastic Properties of Stock Returns, Journal of Finance.",https://www.jstor.org/stable/i340162
cand_breakout_20_volume,20-Day Breakout + Volume Confirmation,data_snooping_sullivan_1999,"Sullivan, Timmermann, White (1999), Data-Snooping, Technical Trading Rule Performance, and the Bootstrap, Journal of Finance.",https://ideas.repec.org/a/bla/jfinan/v54y1999i5p1647-1691.html
cand_trend_pullback_ema_rsi,Trend Pullback (EMA + RSI),trend_century_hurst_2017,"Hurst, Ooi, Pedersen (2017), A Century of Evidence on Trend-Following Investing, Journal of Portfolio Management.",https://www.aqr.com/insights/research/journal-article/a-century-of-evidence-on-trend-following-investing
cand_trend_pullback_ema_rsi,Trend Pullback (EMA + RSI),technical_rules_brock_1992,"Brock, Lakonishok, LeBaron (1992), Simple Technical Trading Rules and the Stochastic Properties of Stock Returns, Journal of Finance.",https://www.jstor.org/stable/i340162
cand_trend_pullback_adx,Trend Pullback (ADX Confirmed),technical_rules_brock_1992,"Brock, Lakonishok, LeBaron (1992), Simple Technical Trading Rules and the Stochastic Properties of Stock Returns, Journal of Finance.",https://www.jstor.org/stable/i340162
cand_mean_reversion_bbands,Bollinger Mean Reversion,data_snooping_sullivan_1999,"Sullivan, Timmermann, White (1999), Data-Snooping, Technical Trading Rule Performance, and the Bootstrap, Journal of Finance.",https://ideas.repec.org/a/bla/jfinan/v54y1999i5p1647-1691.html
cand_mean_reversion_zscore,Z-Score Mean Reversion (Calm Regime),data_snooping_sullivan_1999,"Sullivan, Timmermann, White (1999), Data-Snooping, Technical Trading Rule Performance, and the Bootstrap, Journal of Finance.",https://ideas.repec.org/a/bla/jfinan/v54y1999i5p1647-1691.html
cand_dual_momentum_trend_filter,Dual Momentum + Trend Filter,momentum_jegadeesh_titman_1993,"Jegadeesh, Titman (1993), Returns to Buying Winners and Selling Losers, Journal of Finance.",https://www.bauer.uh.edu/rsusmel/phd/jegadeesh-titman93.pdf
cand_dual_momentum_trend_filter,Dual Momentum + Trend Filter,tsmom_moskowitz_2012,"Moskowitz, Ooi, Pedersen (2012), Time Series Momentum, Journal of Financial Economics.",https://doi.org/10.1016/j.jfineco.2011.11.003
cand_vol_managed_momentum,Volatility-Managed Momentum,vol_managed_moreira_muir_2016,"Moreira, Muir (2016/2017), Volatility Managed Portfolios.",https://www.nber.org/papers/w22208
cand_vol_managed_momentum,Volatility-Managed Momentum,tsmom_moskowitz_2012,"Moskowitz, Ooi, Pedersen (2012), Time Series Momentum, Journal of Financial Economics.",https://doi.org/10.1016/j.jfineco.2011.11.003
cand_hybrid_trend_breakout_pullback,Hybrid Trend + Breakout/Pullback,trend_century_hurst_2017,"Hurst, Ooi, Pedersen (2017), A Century of Evidence on Trend-Following Investing, Journal of Portfolio Management.",https://www.aqr.com/insights/research/journal-article/a-century-of-evidence-on-trend-following-investing
cand_hybrid_trend_breakout_pullback,Hybrid Trend + Breakout/Pullback,technical_rules_brock_1992,"Brock, Lakonishok, LeBaron (1992), Simple Technical Trading Rules and the Stochastic Properties of Stock Returns, Journal of Finance.",https://www.jstor.org/stable/i340162
cand_regime_filtered_momentum,Regime-Filtered Momentum,tsmom_moskowitz_2012,"Moskowitz, Ooi, Pedersen (2012), Time Series Momentum, Journal of Financial Economics.",https://doi.org/10.1016/j.jfineco.2011.11.003
